enzymes	genes	shortNames	MWs	subSystems	Std	HiT	LpH
B5FVA8	YALI0B01771g	YALI0_B01771g	60.95252	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism	NaN	NaN	NaN
B5FVG3	YALI0E32164g	YALI0_E32164g	9.98925	Oxidative phosphorylation	0.00115922284532654	0.00109848572158344	0.000948001079193841
B5FVG6	YALI0E32736g	YALI0_E32736g	18.68913	Purine metabolism // Purine metabolism	NaN	0.000156463673916823	8.4597391391512e-05
F2Z5Z7	YALI0B09361g	YALI0_B09361g	41.42118	Glycerolipid metabolism	0.000104167853799192	0.000131169899140418	NaN
F2Z650	YALI0E01056g	YALI0_E01056g	100.19273	One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate	0.0039339249470619	0.00176599285140229	0.00307468063862436
F2Z672	YALI0B22308g	YALI0_B22308g	59.17288	Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism	0.000552986703397118	0.000603095443973665	0.000238840152344891
F2Z678	YALI0E17787g	ADH2	37.31465	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism	0.00116382307557182	0.00166370180411197	0.000664018314530977
F2Z699	YALI0F25135g	NDH2	65.81386	  //  	0.000687753713821559	0.000511481048442382	0.000467806496313021
F2Z6C9	YALI0D04422g	NCP1	80.17613	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Steroid biosynthesis	0.000336703380592115	0.000312221766700991	0.000478026601539743
F2Z6G2	YALI0B11330g	YALI0_B11330g	49.18432	Arginine and proline metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Glutathione metabolism	NaN	NaN	NaN
F2Z6I5	YALI0E15378g	YALI0_E15378g	97.29873	  //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //  	0.00723864602090117	0.00542341992574526	0.00483320535973856
F2Z6J4	YALI0A09042g	COQ6	51.06769	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	NaN	8.55834635985506e-05	NaN
O74932	YALI0E14685g	TPS1	53.2585	Starch and sucrose metabolism // Starch and sucrose metabolism	2.84619394701652e-05	8.55887448633804e-06	NaN
O74934	YALI0E32835g	POX1	77.28093	Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome	NaN	NaN	NaN
