enzymes	genes	shortNames	MWs	subSystems	Std	HiT	LpH	Osm
A0A1L7LMC3	KLMA_90012	KLMA_90012	7.71629	Oxidative phosphorylation	NaN	NaN	NaN	NaN
W0T294	KLMA_10065	KLMA_10065	87.81322	Histidine metabolism // Histidine metabolism // Histidine metabolism // Histidine metabolism // Histidine metabolism // Histidine metabolism	0.00019979518484183	0.000160843187450659	0.000251217929018244	0.000504869596400951
W0T2B8	KLMA_10090	KLMA_10090	54.63902	Cysteine and methionine metabolism	2.24500971839886e-05	NaN	1.52427445228199e-05	NaN
W0T2F2	KLMA_10125	KLMA_10125	52.58562	Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis	6.49422157049553e-05	NaN	NaN	NaN
W0T2K0	KLMA_10018	KLMA_10018	39.38662	Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism	NaN	NaN	NaN	NaN
W0T2P5	KLMA_10220	KLMA_10220	43.03363	Glycine, serine and threonine metabolism	0.000199256912152455	NaN	0.000128493206824564	0.000264897291044331
W0T2R0	KLMA_10078	KLMA_10078	31.4183	Sphingolipid metabolism // Sphingolipid metabolism // Sphingolipid metabolism	NaN	NaN	NaN	NaN
W0T2S9	KLMA_10260	KLMA_10260	71.22967	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Other reactions	6.59442528242569e-05	5.91396962147085e-05	6.63495207821959e-05	NaN
W0T2U3	KLMA_10108	KLMA_10108	109.00666	Inositol phosphate metabolism	NaN	NaN	NaN	NaN
W0T2W9	KLMA_10305	KLMA_10305	26.25421	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis	8.64302930554918e-06	NaN	NaN	NaN
W0T2Z0	KLMA_10153	KLMA_10153	86.90872	Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Propanoate metabolism // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Propanoate metabolism	0.000210881857042714	NaN	0.000126500435213798	0.000137691262708258
W0T302	KLMA_10163	KLMA_10163	37.52962	Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis	NaN	NaN	NaN	NaN
W0T382	KLMA_10435	KLMA_10435	76.2091	Aminoacyl-tRNA biosynthesis	0.000528308203787239	0.000927114749240409	0.000329109431959754	0.00064928024634224
W0T3A2	KLMA_10243	KLMA_10243	31.62443	Porphyrin and chlorophyll metabolism // Porphyrin and chlorophyll metabolism // Porphyrin and chlorophyll metabolism	NaN	NaN	NaN	NaN
W0T3B0	KLMA_10253	KLMA_10253	128.85911	Citrate cycle (TCA cycle)	0.000588800567632651	0.000887458351829296	0.000854233784158439	0.0012016938345823
W0T3E2	KLMA_10505	KLMA_10505	56.46743	Purine metabolism	0.000154552172820659	0.00011167281520741	7.9217911573928e-05	0.000114622237124252
W0T3G4	KLMA_10313	KLMA_10313	49.89411	Terpenoid backbone biosynthesis	NaN	NaN	NaN	NaN
W0T3H5	KLMA_10540	KLMA_10540	44.44431	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis	0.00422203284623943	0.00851552714538785	0.00445809825091181	0.00565395441298034
W0T3I1	KLMA_10545	KLMA_10545	61.32292	Transport reactions (facilitated diffusion) // Transport reactions (facilitated diffusion)	NaN	9.6896873404469e-06	3.5818009210468e-05	NaN
W0T3K1	KLMA_10353	KLMA_10353	16.32692	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	NaN	NaN	NaN	NaN
W0T3M6	KLMA_10383	KLMA_10383	82.29981	Lysine degradation // Lysine degradation // Lysine degradation // Lysine degradation // Lysine degradation	NaN	NaN	NaN	NaN
