enzymes	genes	enzNames	subSystems	Std_ecM	Std_ecP	HiT_ecM	HiT_ecP	LpH_ecM	LpH_ecP
B5FVA8	YALI0B01771g	YALI0_B01771g	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism	Inf	Inf	Inf	Inf	Inf	Inf
B5FVG3	YALI0E32164g	YALI0_E32164g	Oxidative phosphorylation	Inf	1	Inf	1	Inf	1
B5FVG6	YALI0E32736g	YALI0_E32736g	Purine metabolism // Purine metabolism	Inf	Inf	Inf	0	Inf	0
F2Z5Z7	YALI0B09361g	YALI0_B09361g	Glycerolipid metabolism	Inf	0	Inf	0	Inf	Inf
F2Z650	YALI0E01056g	YALI0_E01056g	One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate	Inf	0.0428243822361074	Inf	0.240534406534443	Inf	0.367719399645789
F2Z672	YALI0B22308g	YALI0_B22308g	Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism	Inf	0	Inf	0	Inf	0
F2Z678	YALI0E17787g	ADH2	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism	Inf	0	Inf	0	Inf	0.0486676237303635
F2Z699	YALI0F25135g	NDH2	  //  	Inf	1	Inf	1	Inf	1
F2Z6C9	YALI0D04422g	NCP1	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Steroid biosynthesis	Inf	0.0419800050638413	Inf	0.0452716982919584	Inf	0.0295690858557676
F2Z6G2	YALI0B11330g	YALI0_B11330g	Arginine and proline metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Glutathione metabolism	Inf	Inf	Inf	Inf	Inf	Inf
F2Z6I5	YALI0E15378g	YALI0_E15378g	  //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //  	Inf	9.65415913773781e-06	Inf	0	Inf	0
F2Z6J4	YALI0A09042g	COQ6	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	Inf	Inf	Inf	0	Inf	Inf
O74932	YALI0E14685g	TPS1	Starch and sucrose metabolism // Starch and sucrose metabolism	Inf	0.0455657444680872	Inf	0.151525701543334	Inf	Inf
