enzymes	genes	enzNames	subSystems	Std_ecP	HiT_ecP	LpH_ecP	OG
B5FVG3	YALI0E32164g	YALI0_E32164g	Oxidative phosphorylation	1	0	0	OG0002522
F2Z699	YALI0F25135g	NDH2	  //  	1	0	0	NA
Q6BZQ3	YALI0F31735g	YALI0_F31735g	Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Glutathione metabolism // Purine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism	1	0	0	NA
Q6BZU8	YALI0F30745g	YALI0_F30745g	One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate	0	1	0	NA
Q6C0G7	YALI0F24893g	YALI0_F24893g	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Glycine, serine and threonine metabolism // Phenylalanine, tyrosine and tryptophan biosynthesis	1	1	1	OG0001057
Q6C105	YALI0F20306g	YALI0_F20306g	Oxidative phosphorylation	1	0	0	OG0000618
Q6C297	YALI0F09603g	YALI0_F09603g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism	1	1	0	OG0002502
Q6C2D9	YALI0F08701g	ERG6	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Steroid biosynthesis	1	1	1	NA
Q6C2V6	YALI0F04774g	YALI0_F04774g	Oxidative phosphorylation	1	0	0	NA
Q6C326	YALI0F03179g	YALI0_F03179g	Oxidative phosphorylation	1	0	0	OG0003332
Q6C338	YALI0F02893g	YALI0_F02893g	Oxidative phosphorylation	1	0	0	OG0002460
Q6C454	YALI0E29579g	YALI0_E29579g	Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics	1	1	0	OG0003028
Q6C4K5	YALI0E26004g	YALI0_E26004g	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway	1	1	0	OG0002187
Q6C549	YALI0E21021g	YALI0_E21021g	MAPK signaling pathway - yeast // Starch and sucrose metabolism	1	0	0	NA
Q6C5P5	YALI0E16346g	YALI0_E16346g	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Glycine, serine and threonine metabolism // Glyoxylate and dicarboxylate metabolism // One carbon pool by folate // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Glycine, serine and threonine metabolism // Glyoxylate and dicarboxylate metabolism // One carbon pool by folate // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Glycine, serine and threonine metabolism // Glyoxylate and dicarboxylate metabolism // One carbon pool by folate // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Glycine, serine and threonine metabolism // Glyoxylate and dicarboxylate metabolism // One carbon pool by folate	0	0	1	NA
Q6C5R5	YALI0E15818g	YALI0_E15818g	Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism	0	0	1	OG0001036
Q6C5S9	YALI0E15488g	YALI0_E15488g	Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism	1	0	0	NA
Q6C5V2	YALI0E14949g	YALI0_E14949g	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism	1	0	1	NA
Q6C6P0	YALI0E07766g	YALI0_E07766g	Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism	0	0	1	NA
Q6C7B8	YALI0E02090g	YALI0_E02090g	Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Galactose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // Purine metabolism // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Galactose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // Purine metabolism // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Galactose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // Purine metabolism // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Galactose metabolism // Gluconeogenesis // Glycolysis // Pentose phosphate pathway // Purine metabolism // Starch and sucrose metabolism	1	1	1	NA
Q6C877	YALI0D22022g	YALI0_D22022g	Oxidative phosphorylation	1	0	0	OG0001622
Q6C893	YALI0D21604g	PSD1	Glycerophospholipid metabolism	1	0	0	OG0001476
Q6C8S0	YALI0D17490g	YALI0_D17490g	Oxidative phosphorylation	1	0	0	NA
Q6C968	YALI0D13596g	YALI0_D13596g	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Cysteine and methionine metabolism // Glycine, serine and threonine metabolism // Lysine biosynthesis // Monobactam biosynthesis	1	1	1	OG0002612
Q6C9B1	YALI0D12584g	YALI0_D12584g	Oxidative phosphorylation	1	0	0	OG0001778
Q6C9E6	YALI0D11814g	YALI0_D11814g	Oxidative phosphorylation	1	0	0	NA
Q6C9P6	YALI0D09361g	YALI0_D09361g	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Glyoxylate and dicarboxylate metabolism	1	0	1	NA
Q6CAF8	YALI0D03135g	YALI0_D03135g	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Pantothenate and CoA biosynthesis // Valine, leucine and isoleucine biosynthesis // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Pantothenate and CoA biosynthesis // Valine, leucine and isoleucine biosynthesis	1	1	0	OG0001902
Q6CCW6	YALI0C05951g	YALI0_C05951g	Biosynthesis of unsaturated fatty acids // Fatty acid metabolism // Biosynthesis of unsaturated fatty acids // Fatty acid metabolism // Fatty acid elongation	1	1	1	OG0000911
Q6CDI7	YALI0C00209g	YALI0_C00209g	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerolipid metabolism	1	1	1	OG0001713
Q6CDN8	YALI0B22506g	YALI0_B22506g	Carbon metabolism // Glyoxylate and dicarboxylate metabolism	1	1	1	NA
Q6CFH9	YALI0B06831g	YALI0_B06831g	Oxidative phosphorylation	1	0	0	OG0002932
Q6CFT7	YALI0B03982g	YALI0_B03982g	Oxidative phosphorylation	1	0	0	OG0002757
Q6CGX5	YALI0A15147g	YALI0_A15147g	Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism	0	0	1	NA
