rxns	rxnNames	grRules	subSystems	Std_GEM	Std_ecM	Std_ecP	HiT_GEM	HiT_ecM	HiT_ecP	LpH_GEM	LpH_ecM	LpH_ecP
xAMINOACID	Amino acid composition		Model specific	0.110913771959062	0.112023555755345	0.09999	0.09999	0.100999899	0.09999	0.09999	0.100999899	0.09999
xBIOMASS	Biomass production		Model specific	0.110913771959062	0.112023555755345	0.09999	0.09999	0.100999899	0.09999	0.09999	0.100999899	0.09999
xLIPID	Lipids pool		Model specific	0.000110913771959062	0.000112023555755345	9.999e-05	9.999e-05	0.000100999899	9.999e-05	9.999e-05	0.000100999899	9.999e-05
xMAINTENANCE	Non-growth associated maintenance (NGAM)		Model specific	0	0	0	6.96529881841118	0	0	15.6892449600435	0	0
xPOOL_AC_EM	Acyl-CoAs pool		Model specific	0.0125389710314014	0	0.011304021955836	0.011304021955836	0.0114181925775899	0.011304021955836	0.011304021955836	0.0114181925775899	0.0113040219558359
xPOOL_AC_LP	Acyl-CoAs pool		Model specific	0	0.0126644337816705	0	0	0	0	0	0	0
xPOOL_AC_MM	Acyl-CoAs pool		Model specific	0	0	0	0	0	0	0	0	0
xPOOL_FA_EM	Fatty acids pool		Model specific	0	0	0	0	0	0	0	0	0
xPOOL_FA_EN	Fatty acids pool		Model specific	0	0	0	0	0	0	0	0	0
xPOOL_FA_LP	Fatty acids pool		Model specific	0.000367613258901119	0.000371291532850523	0.000331407444794953	0.000331407444794953	0.000334754659987382	0.000331407444794953	0.000331407444794953	0.000334754659987382	0.000331407444794953
xPOOL_FA_MI	Fatty acids pool		Model specific	0	0	0	0	0	0	0	0	0
xPOOL_FA_MM	Fatty acids pool		Model specific	0	0	0	0	0	0	0	0	0
y000001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	(YALI0C06446g and YALI0D09273g) or (YALI0E03212g and YALI0D09273g)	Pyruvate metabolism//Sulfur metabolism	0	0	0	0	0	0	0	0	0
y000002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	(YALI0C06446g and YALI0D09273g) or (YALI0E03212g and YALI0D09273g)	Pyruvate metabolism//Sulfur metabolism	0	0	0	0	0	0	0	0	0
y000004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	YALI0E21307g and YALI0D09273g	Pyruvate metabolism//Sulfur metabolism	0	0	0	0	0	0	0	0	0
y000005	1,3-beta-glucan synthase	YALI0C01411g or YALI0E21021g	MAPK signaling pathway - yeast//Starch and sucrose metabolism	0.0489684303199259	0.0494682579388912	0.044145585	0.044145585	0.044600343399612	0.044145585	0.044145585	0.044600343399612	0.044145585
y000006	1,6-beta-glucan synthase	YALI0C14190g		0	0	0	0	0	0	0	0	0
y000007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	YALI0F05192g	Biosynthesis of amino acids//Biosynthesis of secondary metabolites//Histidine metabolism	0.0164152382499412	0.0165784780397892	0.01479852	0.01479852	0.014947076052909	0.01479852	0.01479852	0.014947076052909	0.01479852
y000008	1-acyl-sn-gylcerol-3-phosphate acyltransferase	YALI0E18964g or YALI0F19514g		0.00526851508182741	0	0.00474962499	0.00474962499	0.004797596202399	0.00474962499	0.00474962499	0.004797596202399	0.00474962498999998
y000009	1-acyl-sn-gylcerol-3-phosphate acyltransferase	YALI0E18964g or YALI0F10010g or YALI0D17534g		0	0.00532123092193464	0	0	0	0	0	0	0
y000010	1-phosphatidylinositol-3-phosphate 5-kinase	YALI0E29161g	Inositol phosphate metabolism	0	0	0	0	0	0	0	0	0
