enzymes	genes	enzNames	subSystems	Std_ecM	Std_ecP	HiT_ecM	HiT_ecP	LpH_ecM	LpH_ecP
B5FVA8	YALI0B01771g	YALI0_B01771g	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism	0	0	0	0	0	0
B5FVG3	YALI0E32164g	YALI0_E32164g	Oxidative phosphorylation	0.000142023948668976	0.000116047035095382	0.000121667098336138	0.000109966786453782	0.000121664828259598	9.49021277066688e-05
B5FVG6	YALI0E32736g	YALI0_E32736g	Purine metabolism // Purine metabolism	0	0	0	0	0	0
F2Z5Z7	YALI0B09361g	YALI0_B09361g	Glycerolipid metabolism	0	0	0	0	0	0
F2Z650	YALI0E01056g	YALI0_E01056g	One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate	3.57839718019469e-06	1.68143841994462e-06	3.06217180789513e-07	4.23964934837206e-06	3.06217180789535e-07	1.1284448667458e-05
F2Z672	YALI0B22308g	YALI0_B22308g	Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism	0.0001762249717	0	0	0	0	0
F2Z678	YALI0E17787g	ADH2	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism	0	0	0	0	0	8.66045734896718e-07
F2Z699	YALI0F25135g	NDH2	  //  	0	1.04499829340136e-05	0.000731856099629	7.77163121024024e-06	0.000723952961437964	7.10802399848635e-06
F2Z6C9	YALI0D04422g	NCP1	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Steroid biosynthesis	1.97513897566616e-07	1.7629698043881e-07	1.78077579941242e-07	1.7629698043881e-07	1.78077579941242e-07	1.7629698043881e-07
F2Z6G2	YALI0B11330g	YALI0_B11330g	Arginine and proline metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Glutathione metabolism	0	0	0	0	0	0
F2Z6I5	YALI0E15378g	YALI0_E15378g	  //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //  	8.04669252214753e-10	7.18231786042145e-10	7.25485927081171e-10	0	7.25485927081171e-10	0
F2Z6J4	YALI0A09042g	COQ6	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0	0	0
O74932	YALI0E14685g	TPS1	Starch and sucrose metabolism // Starch and sucrose metabolism	2.7286866481095e-08	2.4350844672e-08	2.46017075608278e-08	2.4350844672e-08	2.46017075608278e-08	2.4350844672e-08
O74934	YALI0E32835g	POX1	Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome	0	0	0	0	0	0
O74935	YALI0F10857g	POX2	Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome	0	0	0	0	0	0
