enzymes	genes	enzNames	subSystems	Std_ecM	Std_ecP	HiT_ecM	HiT_ecP	LpH_ecM	LpH_ecP	Osm_ecM	Osm_ecP
A0A1L7LMC3	KLMA_90012	KLMA_90012	Oxidative phosphorylation	0	0	0	0	0	0	0	0
W0T294	KLMA_10065	KLMA_10065	Histidine metabolism // Histidine metabolism // Histidine metabolism // Histidine metabolism // Histidine metabolism // Histidine metabolism	3.2675980427614e-07	1.81233789291359e-07	2.57774702735684e-07	1.81233789291359e-07	2.57774702735684e-07	1.10402849116533e-06	2.57774702735684e-07	1.21824871276111e-06
W0T2B8	KLMA_10090	KLMA_10090	Cysteine and methionine metabolism	0	0	0	0	0	0	0	0
W0T2F2	KLMA_10125	KLMA_10125	Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis	0	0	0	0	0	0	0	0
W0T2K0	KLMA_10018	KLMA_10018	Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism	0	0	0	0	0	0	0	0
W0T2P5	KLMA_10220	KLMA_10220	Glycine, serine and threonine metabolism	0	0	0	0	0	0	0	0
W0T2R0	KLMA_10078	KLMA_10078	Sphingolipid metabolism // Sphingolipid metabolism // Sphingolipid metabolism	0	0	0	0	0	0	0	0
W0T2S9	KLMA_10260	KLMA_10260	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Other reactions	0	0	0	0	0	0	0	0
W0T2U3	KLMA_10108	KLMA_10108	Inositol phosphate metabolism	0	0	0	0	0	0	0	0
W0T2W9	KLMA_10305	KLMA_10305	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis	0	0	0	0	0	0	0	0
W0T2Z0	KLMA_10153	KLMA_10153	Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Propanoate metabolism // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Propanoate metabolism	0	2.42647523795902e-06	0	0	0	1.45555515273724e-06	0	1.58432045378482e-06
