enzymes	genes	enzNames	subSystems	Std_ecP	HiT_ecP	LpH_ecP	OG
Q6C138	YALI0F19514g	YALI0_F19514g	 	Inf	Inf	Inf	OG0002079
Q6C649	YALI0E12441g	YALI0_E12441g	Glycerophospholipid metabolism // Glycerophospholipid metabolism	Inf	Inf	0.0937935331513368	OG0001528
Q6C2Y8	YALI0F04015g	YALI0_F04015g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Terpenoid backbone biosynthesis // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Terpenoid backbone biosynthesis	Inf	1.13978105834524e-05	6.27474614725945e-05	OG0002341
Q6CEI8	YALI0B15304g	YALI0_B15304g	Alanine, aspartate and glutamate metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Purine metabolism	0.804077164004913	0.989999999999921	0.795785265702251	OG0000763
Q6CD53	YALI0C03674g	YALI0_C03674g	Aminoacyl-tRNA biosynthesis	0	0	0	OG0002086
Q6CAN2	YALI0D01309g	YALI0_D01309g	One carbon pool by folate	Inf	Inf	Inf	OG0000755
Q6CE87	YALI0B17666g	YALI0_B17666g	2-Oxocarboxylic acid metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // 2-Oxocarboxylic acid metabolism // Arginine biosynthesis // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites	0.150729976311991	0.274494826044042	0.168387615992626	OG0003357
Q6C9F1	YALI0D11704g	YALI0_D11704g	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Cysteine and methionine metabolism // Glycine, serine and threonine metabolism // Lysine biosynthesis // Monobactam biosynthesis	Inf	Inf	Inf	OG0002166
Q6C6Z1	YALI0E05137g	YALI0_E05137g	2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // 2-Oxocarboxylic acid metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle)	0	0	0	OG0003097
Q6CA97	YALI0D04741g	YALI0_D04741g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Propanoate metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Propanoate metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Propanoate metabolism	0.0143683803372317	0.0150816121496664	0.0230891234191921	OG0000859
Q6C8V3	YALI0D16753g	YALI0_D16753g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Cysteine and methionine metabolism // Glyoxylate and dicarboxylate metabolism // Pyruvate metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Cysteine and methionine metabolism // Glyoxylate and dicarboxylate metabolism // Pyruvate metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Cysteine and methionine metabolism // Glyoxylate and dicarboxylate metabolism // Pyruvate metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Cysteine and methionine metabolism // Glyoxylate and dicarboxylate metabolism // Pyruvate metabolism	0.310672386862192	0.343955496770829	0.152875552658336	OG0002920
Q6C823	YALI0D23397g	YALI0_D23397g	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Oxidative phosphorylation // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Citrate cycle (TCA cycle) // Oxidative phosphorylation	0.0598309331883668	0.0359320567786735	0.0814927871469643	OG0003251
Q6C5R5	YALI0E15818g	YALI0_E15818g	Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism // Alkane metabolism	0	0	1	OG0001036
Q6CBY1	YALI0C14520g	YALI0_C14520g	Glycerolipid metabolism	0	0	0	OG0002443
Q6C1H2	YALI0F16291g	YALI0_F16291g	Aminoacyl-tRNA biosynthesis	0	0	0	OG0002044
Q6CBK6	YALI0C17941g	YALI0_C17941g	  //  	Inf	Inf	0	OG0001685
Q6C473	YALI0E29161g	YALI0_E29161g	Inositol phosphate metabolism	Inf	Inf	Inf	OG0001314
Q6CEM4	YALI0B14531g	YALI0_B14531g	Glycerolipid metabolism // Glycerolipid metabolism // Biosynthesis of secondary metabolites // Glycerolipid metabolism // Glycerophospholipid metabolism //   // Biosynthesis of secondary metabolites // Glycerolipid metabolism // Glycerophospholipid metabolism //  	Inf	Inf	Inf	OG0001764
Q6C2S2	YALI0F05610g	COQ2	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	Inf	Inf	Inf	OG0001165
Q6C909	YALI0D15268g	YALI0_D15268g	Aminoacyl-tRNA biosynthesis	0	0	0	OG0000972
Q6CD74	YALI0C03179g	YALI0_C03179g	Autophagy - yeast // Sphingolipid metabolism	Inf	0	0	OG0000766
Q6CC91	YALI0C11407g	YALI0_C11407g	Biosynthesis of secondary metabolites // Fatty acid biosynthesis // Fatty acid metabolism // Propanoate metabolism // Pyruvate metabolism // Biosynthesis of secondary metabolites // Biotin metabolism // Fatty acid biosynthesis // Fatty acid metabolism // Propanoate metabolism // Pyruvate metabolism	0	0	0	OG0002737
Q6C363	YALI0F02299g	YALI0_F02299g	Aminoacyl-tRNA biosynthesis	Inf	0	Inf	OG0003295
Q6C7U9	YALI0D25168g	YALI0_D25168g	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Sulfur metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Sulfur metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Cysteine and methionine metabolism // Sulfur metabolism	0.00918603711034875	0.00632406657517568	0.0131389492104947	OG0000667
Q6C536	YALI0E21351g	YALI0_E21351g	Thiamine metabolism // Thiamine metabolism	Inf	Inf	Inf	OG0001368
Q6CG81	YALI0A21417g	YALI0_A21417g	Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Glycine, serine and threonine metabolism // Biosynthesis of amino acids // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Glycine, serine and threonine metabolism	Inf	0	Inf	OG0001680
Q6C7L9	YALI0D27016g	YALI0_D27016g	Glycerolipid metabolism	0	0	0	OG0001432
