enzymes	genes	enzNames	subSystems	Std_ecP	HiT_ecP	LpH_ecP	Osm_ecP	OG
W0TAY5	KLMA_40179	KLMA_40179	Glycerolipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism	Inf	0.0293723625223396	0.0826829011189898	Inf	OG0002079
W0T7G3	KLMA_30035	KLMA_30035	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism	0.0159274880170863	Inf	Inf	Inf	OG0001528
W0TB79	KLMA_50036	KLMA_50036	Terpenoid backbone biosynthesis // Terpenoid backbone biosynthesis	Inf	Inf	0	Inf	OG0002341
W0T3E2	KLMA_10505	KLMA_10505	Purine metabolism	0.533578023850434	0.655728900158501	1	1	OG0000763
W0T9W1	KLMA_40191	KLMA_40191	Aminoacyl-tRNA biosynthesis	0	0	0	0	OG0002086
W0T403	KLMA_10513	KLMA_10513	One carbon pool by folate	Inf	Inf	Inf	Inf	OG0000755
W0TG27	KLMA_70175	KLMA_70175	Arginine and proline metabolism // Arginine and proline metabolism	0.107226209782839	0.134141896951221	0.483917664552201	0.158250422051053	OG0003357
W0TC56	KLMA_40342	KLMA_40342	Glycine, serine and threonine metabolism	0.00467069779719786	0.0108641393899442	0.0181187057418403	0.0117475707966517	OG0002166
W0TGG7	KLMA_80139	KLMA_80139	Citrate cycle (TCA cycle)	0.154853716915637	0	0.249321979684578	0.184119554529534	OG0003097
W0T4J0	KLMA_10336	KLMA_10336	Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle)	0.00177985016544323	0	0.00292101262733785	0	OG0000859
W0TEG9	KLMA_60167	KLMA_60167	Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle)	0	0.000401591970151153	0.0672137272517208	0	OG0002920
W0TKL8	KLMA_80408	KLMA_80408	Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle)	0.0335193094962376	0.00263535611304759	0.0497931406418579	0.0306031590536063	OG0003251
W0T5Y2	KLMA_20005	KLMA_20005	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Tyrosine metabolism // Retinol metabolism // Other reactions // Other reactions // Other reactions // Other reactions // Other reactions // Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism // Tyrosine metabolism // Retinol metabolism // Other reactions	Inf	Inf	Inf	Inf	OG0001036
W0TDJ9	KLMA_50217	KLMA_50217	Glycerolipid metabolism // Other reactions	0	0	Inf	0	OG0002443
W0TBE8	KLMA_40122	KLMA_40122	Aminoacyl-tRNA biosynthesis	0	0	0	0	OG0002044
W0T9T1	KLMA_30281	KLMA_30281	Purine metabolism // Purine metabolism // Purine metabolism // Purine metabolism // Purine metabolism // Purine metabolism // Purine metabolism // Pyrimidine metabolism // Pyrimidine metabolism	0	Inf	0	Inf	OG0001685
W0T809	KLMA_20473	KLMA_20473	Inositol phosphate metabolism // Inositol phosphate metabolism	Inf	Inf	Inf	Inf	OG0001314
W0T7V9	KLMA_30412	KLMA_30412	Glycerolipid metabolism // Sphingolipid metabolism // Sphingolipid metabolism // Sphingolipid metabolism	Inf	Inf	Inf	Inf	OG0001764
W0T503	KLMA_20244	KLMA_20244	Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis	Inf	Inf	Inf	Inf	OG0001165
W0T6N9	KLMA_10137	KLMA_10137	Aminoacyl-tRNA biosynthesis // Aminoacyl-tRNA biosynthesis	0	0	Inf	0	OG0000972
