enzymes	genes	enzNames	subSystems	Std_ecM	Std_ecP	HiT_ecM	HiT_ecP	LpH_ecM	LpH_ecP	Osm_ecM	Osm_ecP
A0A1L7LMC3	KLMA_90012	KLMA_90012	Oxidative phosphorylation	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T294	KLMA_10065	KLMA_10065	Histidine metabolism // Histidine metabolism // Histidine metabolism // Histidine metabolism // Histidine metabolism // Histidine metabolism	Inf	0.0796551859999769	Inf	0.0989455808649515	Inf	0.385913127935741	Inf	0.211893017505948
W0T2B8	KLMA_10090	KLMA_10090	Cysteine and methionine metabolism	Inf	0	Inf	Inf	Inf	0	Inf	Inf
W0T2F2	KLMA_10125	KLMA_10125	Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis	Inf	0	Inf	Inf	Inf	Inf	Inf	Inf
W0T2K0	KLMA_10018	KLMA_10018	Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T2P5	KLMA_10220	KLMA_10220	Glycine, serine and threonine metabolism	Inf	0	Inf	Inf	Inf	0	Inf	0
W0T2R0	KLMA_10078	KLMA_10078	Sphingolipid metabolism // Sphingolipid metabolism // Sphingolipid metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T2S9	KLMA_10260	KLMA_10260	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Other reactions	Inf	0	Inf	0	Inf	0	Inf	Inf
W0T2U3	KLMA_10108	KLMA_10108	Inositol phosphate metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T2W9	KLMA_10305	KLMA_10305	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis	Inf	0	Inf	Inf	Inf	Inf	Inf	Inf
W0T2Z0	KLMA_10153	KLMA_10153	Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Propanoate metabolism // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Propanoate metabolism	Inf	1	Inf	Inf	Inf	1	Inf	1
W0T302	KLMA_10163	KLMA_10163	Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T382	KLMA_10435	KLMA_10435	Aminoacyl-tRNA biosynthesis	Inf	0	Inf	0	Inf	0	Inf	0
W0T3A2	KLMA_10243	KLMA_10243	Porphyrin and chlorophyll metabolism // Porphyrin and chlorophyll metabolism // Porphyrin and chlorophyll metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T3B0	KLMA_10253	KLMA_10253	Citrate cycle (TCA cycle)	Inf	0.0644407865040218	Inf	0.0496728301419913	Inf	0.0620105684637154	Inf	0.055074621860362
W0T3E2	KLMA_10505	KLMA_10505	Purine metabolism	Inf	0.533578023850434	Inf	0.655728900158501	Inf	1	Inf	1
W0T3G4	KLMA_10313	KLMA_10313	Terpenoid backbone biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T3H5	KLMA_10540	KLMA_10540	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis	Inf	0.00293861078612277	Inf	0.00503889169641332	Inf	0.0052034722554797	Inf	0.0057674522042704
W0T3I1	KLMA_10545	KLMA_10545	Transport reactions (facilitated diffusion) // Transport reactions (facilitated diffusion)	Inf	Inf	Inf	0	Inf	0	Inf	Inf
W0T3K1	KLMA_10353	KLMA_10353	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T3M6	KLMA_10383	KLMA_10383	Lysine degradation // Lysine degradation // Lysine degradation // Lysine degradation // Lysine degradation	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T3N4	KLMA_10036	KLMA_10036	Pantothenate and CoA biosynthesis	Inf	2.44041616163687e-05	Inf	3.3526610949688e-05	Inf	Inf	Inf	1.71741874939799e-05
W0T3P9	KLMA_10051	KLMA_10051	Glycolysis / Gluconeogenesis // Streptomycin biosynthesis	Inf	0.192140101042304	Inf	0.110736216101778	Inf	0.413246472236595	Inf	0.322695796252378
W0T3S7	KLMA_10433	KLMA_10433	Alanine, aspartate and glutamate metabolism	Inf	Inf	Inf	0	Inf	0	Inf	0.00132605439194161
W0T3V0	KLMA_10655	KLMA_10655	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	Inf	0	Inf	0	Inf	Inf	Inf	0
W0T3V9	KLMA_10468	KLMA_10468	Pentose phosphate pathway	Inf	0.308203413821719	Inf	0	Inf	0.113704017493832	Inf	0.000116739371034454
W0T3X2	KLMA_10483	KLMA_10483	Selenocompound metabolism // Aminoacyl-tRNA biosynthesis	Inf	0	Inf	0	Inf	0	Inf	0
W0T3X7	KLMA_10126	KLMA_10126	Folate biosynthesis // Folate biosynthesis // Folate biosynthesis // Folate biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T3X8	KLMA_10488	KLMA_10488	Folate biosynthesis // Folate biosynthesis // Folate biosynthesis // Folate biosynthesis	Inf	0.00309914603756928	Inf	Inf	Inf	Inf	Inf	Inf
W0T3Y2	KLMA_10493	KLMA_10493	Aminoacyl-tRNA biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T3Y7	KLMA_10498	KLMA_10498	Sphingolipid metabolism	Inf	0	Inf	0	Inf	0	Inf	0
W0T3Y8	KLMA_10670	KLMA_10670	Aminoacyl-tRNA biosynthesis	Inf	0	Inf	0	Inf	0	Inf	0
W0T3Z8	KLMA_10508	KLMA_10508	Glycerolipid metabolism // Glycerolipid metabolism // Other reactions	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T403	KLMA_10513	KLMA_10513	One carbon pool by folate	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T423	KLMA_10705	KLMA_10705	Cysteine and methionine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism	Inf	0	Inf	Inf	Inf	Inf	Inf	Inf
W0T427	KLMA_10710	KLMA_10710	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	Inf	0	Inf	Inf	Inf	0	Inf	0
W0T443	KLMA_10735	KLMA_10735	Pyrimidine metabolism	Inf	0	Inf	Inf	Inf	0	Inf	0
W0T453	KLMA_10176	KLMA_10176	Pentose phosphate pathway	Inf	0	Inf	0	Inf	0	Inf	0
W0T462	KLMA_10186	KLMA_10186	Other reactions // Other reactions	Inf	0	Inf	0	Inf	Inf	Inf	0
W0T472	KLMA_10196	KLMA_10196	Biosynthesis of unsaturated fatty acids	Inf	Inf	Inf	0	Inf	0	Inf	0
W0T484	KLMA_10598	KLMA_10598	Transport reactions (diffusion) // Transport reactions (diffusion)	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T491	KLMA_10216	KLMA_10216	Amino sugar and nucleotide sugar metabolism // Amino sugar and nucleotide sugar metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T492	KLMA_10024	KLMA_10024	Oxidative phosphorylation	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T4A4	KLMA_10231	KLMA_10231	Glutathione metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T4C3	KLMA_10633	KLMA_10633	Pyrimidine metabolism // Pyrimidine metabolism	Inf	0	Inf	0	Inf	0	Inf	0
W0T4E2	KLMA_20009	KLMA_20009	Transport reactions (diffusion) // Transport reactions (diffusion)	Inf	0	Inf	0	Inf	Inf	Inf	0
W0T4E3	KLMA_10653	KLMA_10653	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T4E8	KLMA_10658	KLMA_10658	Amino sugar and nucleotide sugar metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T4F1	KLMA_10079	KLMA_10079	Cysteine and methionine metabolism	Inf	0.149939866947854	Inf	0.112939170542883	Inf	0.129455433889941	Inf	0.0472865170589474
W0T4F5	KLMA_10663	KLMA_10663	Purine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Purine metabolism // Pyrimidine metabolism // Pyrimidine metabolism // Pyrimidine metabolism	Inf	0.00603665887170045	Inf	0.00933434633228789	Inf	0.0204947709547823	Inf	0.00263196388098864
W0T4G1	KLMA_10089	KLMA_10089	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T4H7	KLMA_10316	KLMA_10316	Porphyrin and chlorophyll metabolism // Porphyrin and chlorophyll metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T4J0	KLMA_10336	KLMA_10336	Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle)	Inf	0.00177985016544323	Inf	0	Inf	0.00292101262733785	Inf	0
W0T4J4	KLMA_10341	KLMA_10341	Glycolysis / Gluconeogenesis // Galactose metabolism	Inf	0.0131532456050337	Inf	0.25045639822751	Inf	0.100964941247085	Inf	0.192243815756394
W0T4J5	KLMA_10124	KLMA_10124	Glycerolipid metabolism // Glycerolipid metabolism // Other reactions	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T4J6	KLMA_20074	KLMA_20074	Starch and sucrose metabolism // Starch and sucrose metabolism	Inf	0	Inf	0	Inf	0	Inf	0
W0T4J7	KLMA_10678	KLMA_10678	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	Inf	Inf	Inf	Inf	Inf	0	Inf	Inf
W0T4K1	KLMA_10683	KLMA_10683	Pentose and glucuronate interconversions // Glycerolipid metabolism // Other reactions // Pentose and glucuronate interconversions // Glycerolipid metabolism // Other reactions	Inf	0	Inf	0	Inf	0	Inf	0
W0T4M1	KLMA_20099	KLMA_20099	Transport reactions (diffusion) // Transport reactions (diffusion)	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T4N5	KLMA_10159	KLMA_10159	Biosynthesis of unsaturated fatty acids	Inf	0	Inf	0	Inf	0	Inf	0
W0T4N6	KLMA_20114	KLMA_20114	Other reactions // Other reactions	Inf	0	Inf	0	Inf	0	Inf	0
W0T4P7	KLMA_20129	KLMA_20129	Transport reactions (diffusion) // Transport reactions (diffusion)	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T4R5	KLMA_10763	KLMA_10763	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis	Inf	0.035236690078604	Inf	0.00917597275446686	Inf	0.00555880744829844	Inf	0.0125345776922544
W0T4S5	KLMA_10436	KLMA_10436	Histidine metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T4T5	KLMA_10179	KLMA_10179	Glycerophospholipid metabolism	Inf	0	Inf	0	Inf	0	Inf	0
W0T4U6	KLMA_10189	KLMA_10189	Purine metabolism	Inf	0.0148179217356858	Inf	0.00957184535427382	Inf	0.00936552175297091	Inf	Inf
W0T4W6	KLMA_10818	KLMA_10818	Purine metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T4W9	KLMA_10481	KLMA_10481	Folate biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T4Y9	KLMA_10234	KLMA_10234	Starch and sucrose metabolism	Inf	0	Inf	0	Inf	0.628378814103729	Inf	Inf
W0T4Z5	KLMA_10506	KLMA_10506	Transport reaction (active diffusion)	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T4Z7	KLMA_10244	KLMA_10244	Biosynthesis of unsaturated fatty acids	Inf	0	Inf	Inf	Inf	0	Inf	0
W0T500	KLMA_10511	KLMA_10511	Lysine degradation // Lysine degradation // Lysine degradation // Lysine degradation	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T503	KLMA_20244	KLMA_20244	Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T517	KLMA_20259	KLMA_20259	Phenylalanine metabolism // Tryptophan metabolism // Ubiquinone and other terpenoid-quinone biosynthesis // Phenylalanine metabolism // Tryptophan metabolism // Ubiquinone and other terpenoid-quinone biosynthesis	Inf	0.000403836533949849	Inf	0.000405405965836259	Inf	0.000365960154504804	Inf	0.000532659449706523
W0T518	KLMA_20042	KLMA_20042	Pyruvate metabolism	Inf	0	Inf	0	Inf	0	Inf	0
W0T533	KLMA_10546	KLMA_10546	Transport reactions (facilitated diffusion) // Transport reactions (facilitated diffusion)	Inf	Inf	Inf	Inf	Inf	0	Inf	0
W0T534	KLMA_20057	KLMA_20057	Purine metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T536	KLMA_10289	KLMA_10289	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis // Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T537	KLMA_20062	KLMA_20062	Other reactions	Inf	0.231010515755892	Inf	Inf	Inf	Inf	Inf	Inf
W0T541	KLMA_10294	KLMA_10294	Purine metabolism // Purine metabolism // Purine metabolism // Purine metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T562	KLMA_20304	KLMA_20304	Alanine, aspartate and glutamate metabolism // Glycine, serine and threonine metabolism // Alanine, aspartate and glutamate metabolism	Inf	0.531901676320974	Inf	0.507981548466279	Inf	0.99009900990099	Inf	Inf
W0T570	KLMA_10581	KLMA_10581	Ubiquinone and other terpenoid-quinone biosynthesis	Inf	0	Inf	Inf	Inf	Inf	Inf	Inf
W0T576	KLMA_20319	KLMA_20319	Glycerophospholipid metabolism // Glycerophospholipid metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T5A6	KLMA_10621	KLMA_10621	Pyruvate metabolism	Inf	0	Inf	0	Inf	0	Inf	0
W0T5B1	KLMA_10626	KLMA_10626	Aminoacyl-tRNA biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T5C0	KLMA_10389	KLMA_10389	Terpenoid backbone biosynthesis // Terpenoid backbone biosynthesis	Inf	Inf	Inf	1	Inf	0.654276532439988	Inf	1
W0T5D1	KLMA_20172	KLMA_20172	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis // Other reactions // Other reactions	Inf	0.0792689056597893	Inf	0.0255846608631685	Inf	0.11388724085818	Inf	0.0456301375702416
W0T5D7	KLMA_10656	KLMA_10656	Amino sugar and nucleotide sugar metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T5D8	KLMA_20354	KLMA_20354	Glycine, serine and threonine metabolism // Cysteine and methionine metabolism // Cysteine and methionine metabolism // Selenocompound metabolism // Other reactions // Cysteine and methionine metabolism // Other reactions	Inf	0.0144212201232229	Inf	0.109708622206762	Inf	Inf	Inf	0.225328129446575
W0T5E0	KLMA_10414	KLMA_10414	Pyrimidine metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T5E4	KLMA_10419	KLMA_10419	One carbon pool by folate // One carbon pool by folate	Inf	1	Inf	Inf	Inf	1	Inf	0
W0T5F5	KLMA_20202	KLMA_20202	Folate biosynthesis // Folate biosynthesis // Folate biosynthesis // Folate biosynthesis // Folate biosynthesis	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T5F9	KLMA_10434	KLMA_10434	Aminoacyl-tRNA biosynthesis	Inf	0	Inf	0	Inf	0	Inf	0
W0T5G3	KLMA_10439	KLMA_10439	Glycerophospholipid metabolism	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
W0T5I6	KLMA_20414	KLMA_20414	Phenylalanine, tyrosine and tryptophan biosynthesis	Inf	0.0043161777917439	Inf	0.00807606053749959	Inf	0.0103739551224758	Inf	0.016384716911056
W0T5J3	KLMA_20424	KLMA_20424	Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion) // Transport reaction (active diffusion)	Inf	0	Inf	Inf	Inf	0	Inf	0
W0T5M1	KLMA_20262	KLMA_20262	Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism	Inf	Inf	Inf	0	Inf	0	Inf	0
W0T5M3	KLMA_20454	KLMA_20454	Phenylalanine, tyrosine and tryptophan biosynthesis	Inf	0.199935597812457	Inf	Inf	Inf	Inf	Inf	Inf
W0T5M8	KLMA_20459	KLMA_20459	Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion) // Transport reactions (diffusion)	Inf	0.0253182852204225	Inf	0.0385567184072485	Inf	0	Inf	0
