enzymes	genes	enzNames	subSystems	Std_ecP	HiT_ecP	LpH_ecP	Osm_ecP	OG
P00127	YFR033C	QCR6	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	1	0	1	0	OG0002595
P00128	YDR529C	QCR7	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	1	0	1	0	NA
P00163	Q0105	COB	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	1	0	1	0	NA
P00958	YGR264C	MES1	sce00450  Selenocompound metabolism // sce00970  Aminoacyl-tRNA biosynthesis	0	0	0	1	OG0000776
P07143	YOR065W	CYT1	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	1	0	1	0	OG0001675
P07256	YBL045C	COR1	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	1	0	1	0	NA
P07257	YPR191W	QCR2	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	1	0	1	0	NA
P07283	YFL045C	SEC53	sce00051  Fructose and mannose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce00051  Fructose and mannose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics	1	1	1	0	OG0003269
P08067	YEL024W	RIP1	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	1	0	1	0	OG0000641
P08525	YJL166W	QCR8	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	1	0	1	0	OG0000834
P16451	YGR193C	PDX1	Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism	1	0	0	0	OG0003046
P19262	YDR148C	KGD2	Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00310  Lysine degradation // sce00380  Tryptophan metabolism // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce00670  One carbon pool by folate // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00310  Lysine degradation // sce00380  Tryptophan metabolism // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00310  Lysine degradation // sce00380  Tryptophan metabolism // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism	1	0	1	1	OG0002609
P20051	YLR420W	URA4	sce00240  Pyrimidine metabolism // sce00240  Pyrimidine metabolism	1	1	1	1	OG0000689
P21147	YGL055W	OLE1	sce01040  Biosynthesis of unsaturated fatty acids // sce01212  Fatty acid metabolism // sce01040  Biosynthesis of unsaturated fatty acids // sce01212  Fatty acid metabolism	1	0	0	0	OG0000911
P22289	YGR183C	QCR9	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	1	0	1	0	NA
P24521	YMR220W	ERG8	sce00900  Terpenoid backbone biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics	1	1	0	0	OG0000873
P25340	YGL012W	ERG4	sce00100  Steroid biosynthesis // sce01130  Biosynthesis of antibiotics	1	1	0	0	OG0002216
P28777	YGL148W	ARO2	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids	0	0	0	1	OG0003064
P31382	YAL023C	PMT2	sce00514  Other types of O-glycan biosynthesis // sce00515  Mannose type O-glycan biosynthesis	1	1	0	0	NA
