protein_IDs	previous_values	modified_values	flex_Mass
prot_W0T6X1	1.26139648707942e-06	1.73982391677434e-06	2.438418782741e-05
prot_W0T7L9	5.91452939058203e-07	6.03341143133273e-07	9.57207520558116e-07
prot_W0T7M0	2.55568747898664e-06	2.60705679731427e-06	3.91987401845622e-06
prot_W0T9D3	3.50631496147144e-06	3.51513672769899e-06	3.92248278794182e-07
prot_W0T9E2	4.94318735561135e-05	5.04254542145914e-05	0.000102775943569726
prot_W0TA79	2.42950882646571e-06	3.35098250676615e-06	5.55802238883667e-05
prot_W0TAM6	3.0134900691326e-06	4.15645845611805e-06	6.16793860586439e-05
prot_W0TB52	2.33462544843136e-06	2.38155141994483e-06	2.92530593742563e-06
prot_W0TBF6	2.96021244225844e-06	3.01971271234783e-06	1.1957947780676e-06
prot_W0TBM3	2.73858280978633e-05	3.77728328827456e-05	0.000573980587040155
prot_W0TBX9	1.53814784823021e-05	1.56906461997964e-05	1.21292153342234e-05
prot_W0TCW7	1.21103070322808e-05	1.23537242036296e-05	1.15953935984847e-05
prot_W0TD46	2.84474977716855e-05	2.90192924768964e-05	2.38913610652438e-05
prot_W0TEE1	4.68295412662675e-06	6.4591234192563e-06	0.000208492914876302
