protein_IDs	previous_values	modified_values	flex_Mass
prot_P07283	2.24249021542e-05	2.6158775355367e-05	0.000108515540553989
prot_P16451	1.4525439823203e-06	2.18044081138789e-06	3.30183100375421e-05
prot_P21147	7.05299243230444e-06	8.22737074902984e-06	6.85864182544581e-05
prot_P24521	1.67141255570657e-06	1.96271430927594e-06	1.46974464562379e-05
prot_P25340	1.37132535210104e-06	1.61033021921362e-06	1.33935674575864e-05
prot_P32462	1.46273794985292e-05	1.7176748900834e-05	0.00012903597538594
prot_P32476	1.32607544549872e-05	1.46342697511768e-05	7.5715538903111e-05
prot_P38604	2.32346887773374e-07	2.72842045943691e-07	3.37970200875128e-06
prot_P54839	1.36934758079858e-05	1.60800400956041e-05	0.000131291655438813
prot_Q12265	4.13915057179334e-06	1.05756770554032e-05	0.000344382358859127
prot_Q12452	2.59487666516566e-06	3.04713123158292e-06	1.79654553698181e-05
