protein_IDs	previous_values	modified_values	flex_Mass
prot_P06197	5.36090405803873e-07	5.65894905119696e-07	7.39848412226413e-07
prot_P07283	2.24249021542e-05	2.6158775355367e-05	0.000108515540553989
prot_P16451	7.50304980377026e-07	9.59840489925812e-07	9.50479263251986e-06
prot_P24521	1.67141255570657e-06	1.97382794108376e-06	1.52581777475137e-05
prot_P25340	1.37132535210104e-06	1.61944863269235e-06	1.39045532274951e-05
prot_P32476	1.24622545611012e-05	1.47171355640133e-05	0.0001243011495915
prot_P33330	1.36294771746146e-05	0.000113092710415889	0.00431819726580225
prot_P37291	2.03176222199612e-05	3.57313338772112e-05	0.000804872116358466
prot_P37292	7.12763101354342e-06	1.66068300143007e-05	0.000508899234842765
prot_P38604	2.32346887773374e-07	2.74387000239159e-07	3.50864298272799e-06
prot_P38620	6.39941150942341e-07	1.15293208358101e-05	0.000378565800142927
prot_P54839	1.36934758079858e-05	1.61710913730279e-05	0.000136300643885014
prot_Q12265	2.35173090930199e-06	9.22335366876184e-06	0.000367661915338789
prot_Q12452	2.59487666516566e-06	3.06438545817694e-06	1.86508658904264e-05
