enzymes	shortNames	genes	MWs	subSystems	OG
A0A1L7LMC3	KLMA_90012	KLMA_90012	7.71629	Oxidative phosphorylation	NA
W0T294	KLMA_10065	KLMA_10065	87.81322	Histidine metabolism // Histidine metabolism // Histidine metabolism // Histidine metabolism // Histidine metabolism // Histidine metabolism	OG0001012
W0T2B8	KLMA_10090	KLMA_10090	54.63902	Cysteine and methionine metabolism	OG0001001
W0T2F2	KLMA_10125	KLMA_10125	52.58562	Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis	OG0000980
W0T2K0	KLMA_10018	KLMA_10018	39.38662	Glycine, serine and threonine metabolism // Glycine, serine and threonine metabolism	NA
W0T2P5	KLMA_10220	KLMA_10220	43.03363	Glycine, serine and threonine metabolism	OG0000920
W0T2R0	KLMA_10078	KLMA_10078	31.4183	Sphingolipid metabolism // Sphingolipid metabolism // Sphingolipid metabolism	NA
W0T2S9	KLMA_10260	KLMA_10260	71.22967	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Other reactions	NA
W0T2U3	KLMA_10108	KLMA_10108	109.00666	Inositol phosphate metabolism	OG0000991
W0T2W9	KLMA_10305	KLMA_10305	26.25421	Glycolysis / Gluconeogenesis // Glycolysis / Gluconeogenesis	OG0000878
W0T2Z0	KLMA_10153	KLMA_10153	86.90872	Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Propanoate metabolism // Citrate cycle (TCA cycle) // Citrate cycle (TCA cycle) // Propanoate metabolism	NA
W0T302	KLMA_10163	KLMA_10163	37.52962	Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis // Ubiquinone and other terpenoid-quinone biosynthesis	OG0000958
W0T382	KLMA_10435	KLMA_10435	76.2091	Aminoacyl-tRNA biosynthesis	OG0000800
