enzymes	shortNames	genes	MWs	subSystems	OG
B5FVA8	YALI0_B01771g	YALI0B01771g	60.95252	Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism // Glycerophospholipid metabolism	NA
B5FVG3	YALI0_E32164g	YALI0E32164g	9.98925	Oxidative phosphorylation	OG0002522
B5FVG6	YALI0_E32736g	YALI0E32736g	18.68913	Purine metabolism // Purine metabolism	NA
F2Z5Z7	YALI0_B09361g	YALI0B09361g	41.42118	Glycerolipid metabolism	NA
F2Z650	YALI0_E01056g	YALI0E01056g	100.19273	One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate // One carbon pool by folate	NA
F2Z672	YALI0_B22308g	YALI0B22308g	59.17288	Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fructose and mannose metabolism // Galactose metabolism // Gluconeogenesis // Glycolysis // Starch and sucrose metabolism // Amino sugar and nucleotide sugar metabolism	NA
F2Z678	ADH2	YALI0E17787g	37.31465	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Carbon metabolism // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Fatty acid degradation // Gluconeogenesis // Glycolysis // Tyrosine metabolism	NA
F2Z699	NDH2	YALI0F25135g	65.81386	  //  	NA
F2Z6C9	NCP1	YALI0D04422g	80.17613	Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Steroid biosynthesis	OG0001458
F2Z6G2	YALI0_B11330g	YALI0B11330g	49.18432	Arginine and proline metabolism // Biosynthesis of antibiotics // Biosynthesis of secondary metabolites // Glutathione metabolism	NA
F2Z6I5	YALI0_E15378g	YALI0E15378g	97.29873	  //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //   //  	OG0003515
F2Z6J4	COQ6	YALI0A09042g	51.06769	Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis // Biosynthesis of secondary metabolites // Ubiquinone and other terpenoid-quinone biosynthesis	OG0000980
O74932	TPS1	YALI0E14685g	53.2585	Starch and sucrose metabolism // Starch and sucrose metabolism	NA
O74934	POX1	YALI0E32835g	77.28093	Fatty acid metabolism // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome // Biosynthesis of secondary metabolites // Biosynthesis of unsaturated fatty acids // Fatty acid degradation // Fatty acid metabolism // Peroxisome	NA
